LocalAuthorityName	SiteCode	SiteName	SiteType	DateClosed	DateOpened	Latitude	Longitude
Lewisham	LW1	Lewisham - Catford	Urban Background	2021-11-03 00:00:00	1996-08-02 15:00:00	51.445468	-0.020266
Lewisham	LW5	Lewisham - Deptford	Urban Background		2019-09-20 00:00:00	51.4795312838203	-0.0252606031340197
Lewisham	HP1	Lewisham - Honor Oak Park	Urban Background		2018-11-27 00:00:00	51.4496728960354	-0.0374153592115306
Lewisham	LW6	Lewisham - Laurence House Catford	Roadside		2021-11-09 00:00:00	51.4447808	-0.0221832
Lewisham	LW4	Lewisham - Loampit Vale	Roadside		2012-07-10 00:00:00	51.4646910611736	-0.0160682432041527
Lewisham	LW3	Lewisham - Mercury Way	Industrial	2016-02-03 00:00:00	2010-01-01 00:00:00	51.4811412184719	-0.0456708566668043
Lewisham	LW2	Lewisham - New Cross	Roadside		2002-03-31 13:45:00	51.474954	-0.039641
Richmond	TD5	London Teddington Bushy Park 	Suburban		2004-11-15 00:00:00	51.4252560360937	-0.345608290872898
Westminster	MR8	Marylebone Road - BAM	Kerbside		2012-01-11 00:00:00	51.5225093597419	-0.154622154656843
Merton	ME5	Merton - Esampler1	Industrial		2014-12-02 00:00:00		
Merton	ME6	Merton - Esampler2	Industrial		2014-12-02 00:00:00		
Merton	ME2	Merton - Merton Road	Roadside		2011-06-29 00:00:00	51.4161384794862	-0.192230805042824
Merton	ME1	Merton - Morden Civic Centre	Roadside	2017-01-27 00:00:00	2010-01-13 00:00:00	51.40105	-0.195929
Merton	ME9	Merton - Morden Civic Centre 2	Roadside		2017-01-27 00:00:00	51.40162	-0.19589212
Merton	ME7	Merton - Willow Lane Industrial Estate	Industrial	2016-04-01 00:00:00	2015-08-05 00:00:00	51.3943415638	-0.165161044588
Newham	TL6	Newham - Britannia Gate	Roadside		2020-12-04 00:00:00	51.503858	0.020574415
Newham	NM2	Newham - Cam Road	Roadside		1998-08-18 00:00:00	51.537598	-0.002138
Newham	NM4	Newham - East Ham Town Hall	Roadside		2022-12-19 00:00:00	51.5330166040173	0.0550002064487128
Newham	TL5	Newham - Hoola Tower	Roadside		2021-03-08 00:00:00	51.508198	0.015002152
Newham	NM1	Newham - Tant Avenue	Urban Background	2003-12-31 00:00:00	1998-01-01 00:00:00	51.514764	0.011989
Newham	NM3	Newham - Wren Close	Urban Background		2003-03-21 00:00:00	51.514727	0.014554
Redbridge	RB3	Redbridge - Fullwell Cross	Kerbside	2012-03-30 10:45:00	1999-11-20 14:00:00	51.593935	0.085516
Redbridge	RB4	Redbridge - Gardner Close	Roadside		1999-11-21 13:00:00	51.57661	0.030858
Redbridge	RB2	Redbridge - Ilford Broadway	Kerbside	2003-06-01 00:00:00	1999-12-01 14:00:00	51.5583461865157	0.0699915095238029
Redbridge	RB7	Redbridge - Ley Street	Urban Background		2014-05-15 00:00:00	51.5694843315237	0.0829074748964946
Redbridge	RB1	Redbridge - Perth Terrace	Urban Background	2014-05-13 00:00:00	1999-11-21 10:00:00	51.569221	0.081821
Redbridge	RB5	Redbridge - South Woodford	Roadside	2012-03-30 10:45:00	2003-11-19 00:00:00	51.595851	0.020087
Westminster	CE3	Regent Street (The Crown Estate)	Roadside		2022-11-02 00:00:00	51.5113771448991	-0.139249367757023
Westminster	CE1	Regent Street facade (The Crown Estate)	Roadside	2023-03-01 00:00:00	2020-05-01 00:00:00	51.5111824979787	-0.139114122784456
Richmond	RI2	Richmond Upon Thames - Barnes Wetlands	Suburban		2001-03-29 10:00:00	51.476168	-0.230427
Richmond	RI1	Richmond Upon Thames - Castelnau	Roadside		2000-06-14 00:15:00	51.480189	-0.237335
Richmond	RHG	Richmond Upon Thames - Chertsey Road	Roadside	2020-08-06 00:00:00	2016-05-24 00:00:00	51.4531422511004	-0.341218138106469
Enfield	AZ99	Sk B Site	Urban Background		2018-08-28 00:00:00	50.9112219333093	0.0556574726512342
Southwark	SK5	Southwark - A2 Old Kent Road	Roadside		2010-11-24 00:00:00	51.4804994936467	-0.0595528932573422
Southwark	SK9	Southwark - A2 Old Kent Road FIDAS	Roadside		2010-11-24 00:00:00	51.4804994936467	-0.0595528932573422
Southwark	SK6	Southwark - Elephant and Castle	Urban Background		2013-01-23 00:00:00	51.4931557048667	-0.101527038274853
Southwark	SK7	Southwark - Heygate	Urban Background	2015-11-11 00:00:00	2014-08-26 00:00:00	51.4929813788003	-0.0985378910481832
Southwark	SK1	Southwark - Larcom Street	Urban Background	2009-06-17 12:00:00	1993-03-01 00:00:00	51.490548	-0.09661
Southwark	SKA	Southwark - Lower Road	Roadside		2020-11-24 00:00:00	51.4965604167321	-0.0530504472531612
Southwark	SK2	Southwark - Old Kent Road	Roadside	2006-04-21 00:00:00	1994-05-03 00:00:00	51.4819456792926	-0.0627176235171689
Southwark	SKC	Southwark - South Circular Road	Roadside		2021-07-22 00:00:00	51.442633	-0.077653974
Southwark	SK8	Southwark - Tower Bridge Road	Roadside		2019-06-01 00:00:00	51.5013906712066	-0.0782034373606952
Southwark	SKB	Southwark - Vicarage Grove	Roadside		2021-01-26 00:00:00	51.4735803479615	-0.0877818536754426
Sutton	ST8	Sutton - Beddington Lane 	Industrial	2020-10-16 00:00:00	2012-04-04 00:00:00	51.3835652277943	-0.136417861473301
Sutton	ST5	Sutton - Beddington Lane north	Industrial		2005-12-01 00:00:00	51.389286904505	-0.141661524779893
Sutton	ST9	Sutton - Beddington Village	Roadside		2020-10-16 00:00:00	51.3712010773161	-0.131948824988095
Sutton	ST3	Sutton - Carshalton	Suburban	2016-07-13 00:00:00	1995-05-05 07:00:00	51.365318	-0.165936
Sutton	ST2	Sutton - North Cheam	Urban Background	2002-05-03 00:00:00	1995-04-25 17:00:00	51.3771892138334	-0.222044077436931
Sutton	ST1	Sutton - Robin Hood School	Roadside	2002-04-26 00:00:00	1995-04-26 07:00:00	51.365744	-0.195563
Sutton	ST7	Sutton - Therapia Lane	Industrial	2012-02-10 00:00:00	2010-02-09 00:00:00	51.3858391292126	-0.136339857220486
Sutton	ST4	Sutton - Wallington	Kerbside		2002-07-17 00:00:00	51.3586596124998	-0.149723946604927
Sutton	ST6	Sutton - Worcester Park	Kerbside		2008-11-04 00:00:00	51.377923	-0.240414
Tower Hamlets	TH3	Tower Hamlets - Bethnal Green	Urban Background	2009-11-02 00:00:00	1999-10-24 12:00:00	51.526737	-0.053869
Tower Hamlets	TH4	Tower Hamlets - Blackwall	Roadside		2006-09-08 00:00:00	51.5150461674013	-0.00841849265642741
